time_seconds,temperature_C
0,32.59694840163982
1,32.54403353045795
2,32.60952960039728
3,32.68247471025622
4,32.53604277432861
5,32.536044142476456
6,32.6871566235145
7,32.619508449651626
8,32.516432690060974
9,32.600768892521046
10,32.51693741448784
11,32.51674474275803
12,32.57571907818606
13,32.39611553516741
14,32.41181240284613
15,32.50869826145214
16,32.47115296219435
17,32.581742833271825
18,32.47988688259545
19,32.43786358044427
20,32.67769295296568
21,32.536740863848344
22,32.56118290594621
23,32.436826540037764
24,32.51019032851179
25,32.56479910469804
26,32.45963942410369
27,32.58686372375102
28,32.50550233139565
29,32.53124774307278
30,32.50541333786977
31,32.7099120709313
32,32.55443078682739
33,32.46741297814256
34,32.62410096489748
35,32.45381858472464
36,32.572960855139286
37,32.392249711898906
38,32.444873384814024
39,32.57196065854465
40,32.61709443722184
41,32.56983624565471
42,32.54591819868986
43,32.53046358092311
44,32.432345389691605
45,32.495568538189325
46,32.51716899130891
47,32.64364907440713
48,32.584190413019584
49,32.408635542608664
50,32.58256255300512
51,32.52346536552086
52,32.49914538886339
53,32.606528579625625
54,32.64147218243022
55,32.63316223214857
56,32.48562076195367
57,32.52978785756795
58,32.58316084150585
59,32.636850982815744
