Time (s),Temperature (F)
5.0,92.28
10.0,92.73
15.0,92.51
20.0,92.39
25.0,92.25
30.0,92.21
35.0,92.06
40.0,92.19
45.0,92.15
50.0,92.05
55.0,92.02
60.0,91.92
65.0,91.86
70.0,91.84
75.0,91.83
80.0,91.69
85.0,91.84
90.0,91.94
95.0,91.87
100.0,91.87
105.0,91.92
110.0,91.92
115.0,91.93
120.0,91.94
125.0,91.99
130.0,91.97
135.0,92.05
140.0,92.04
145.0,92.12
150.0,92.14
155.0,92.22
160.0,92.27
165.0,92.32
170.0,92.41
175.0,92.5
180.0,92.51
185.0,92.51
190.0,92.52
195.0,92.57
200.0,92.67
205.0,92.68
210.0,92.68
215.0,92.76
220.0,92.78
225.0,92.86
230.0,92.92
235.0,93.01
240.0,93.04
245.0,93.06
250.0,93.1
255.0,93.12
260.0,93.2
265.0,93.29
270.0,93.26
275.0,93.33
280.0,93.37
285.0,93.4
290.0,93.46
295.0,93.51
300.0,93.59
305.0,93.64
310.0,93.65
315.0,93.66
320.0,93.71
325.0,93.71
330.0,93.79
335.0,93.82
340.0,93.89
345.0,94.0
350.0,94.01
355.0,94.05
360.0,94.08
365.0,94.17
370.0,94.26
375.0,94.21
380.0,94.3
385.0,94.34
390.0,94.38
395.0,94.45
400.0,94.48
405.0,94.55
410.0,94.61
415.0,94.71
420.0,94.73
425.0,94.86
430.0,94.89
435.0,94.94
440.0,95.03
445.0,95.16
450.0,95.23
455.0,95.29
460.0,95.36
465.0,95.4
470.0,95.51
475.0,95.56
480.0,95.62
485.0,95.69
490.0,95.81
495.0,95.85
500.0,95.94
505.0,96.05
510.0,95.78
515.0,96.35
520.0,96.38
525.0,96.36
530.0,96.48
535.0,96.48
540.0,96.54
545.0,96.59
550.0,96.59
555.0,96.64
560.0,96.69
565.0,96.67
570.0,96.7
575.0,96.79
580.0,96.82
585.0,96.82
590.0,96.83
595.0,96.86
600.0,96.87
605.0,96.82
